"ProteinAccessions" "Genes" "inputA" "inputB" "inputC"
"1" "A0A024QZX5;A0A087X1N8;P35237" "SERPINB6" 17.2032441850843 17.2467826328862 17.9866883727484
"2" "A0A024R0Y4;O75478" "TADA2A" 15.2055380833597 15.6894935384637 16.64125181174
"3" "A0A024R1R8;Q9Y2S6" "hCG_2014768;TMA7" 21.886494512713 21.3744822160012 22.4920957166951
"4" "A0A024R4E5;Q00341" "HDLBP" 17.115287547777 17.6512587812498 18.975025244455
"5" "A0A024R8F3;A0A1B0GTD0;Q5VTD9" "GFI1B" 14.9450017960758 15.8487278004605 15.7584659051593
"6" "A0A024RA52;P25787" "PSMA2" 17.4887724052138 18.5325785133558 19.4796843128255
"7" "A0A024RBG1;Q9NZJ9;Q9NZJ9-2" "NUDT4B;NUDT4;NUDT4" NA 12.4225285853604 12.8204995877011
"8" "A0A024RCR6;A0A0G2JK23;A0A7I2V508;A0A7P0MQS5;P46379;P46379-2;P46379-3" "BAG6" 15.0254253328825 15.4771137023571 15.8383093091636
"9" "A0A075B6H4" "KAT14" NA 12.6147873395078 NA
"10" "A0A075B6H7;A0A0C4DH55;A0A0C4DH90;P01624" "IGKV3-7;IGKV3D-7;IGKV3OR2-268;IGKV3-15" NA NA NA
"11" "A0A075B6K5;P80748" "IGLV3-9;IGLV3-21" NA NA NA
"12" "A0A075B6P0;Q330K2;Q330K2-2" "NDUFAF6" 12.6893537247346 13.6855942576836 14.8094023224748
"13" "A0A075B6P5;A0A087WW87;P01614;P01615" "IGKV2-28;IGKV2-40;IGKV2D-40;IGKV2D-28" NA NA NA
"14" "A0A075B6S2;A0A0A0MRZ7;A2NJV5" "IGKV2D-29;IGKV2D-26;IGKV2-29" 12.1969377999007 12.9276226368243 NA
"15" "A0A075B785;A0A2R8Y566;Q9P260;Q9P260-2" "RELCH" NA 11.9617399732032 13.2578320785426
"16" "A0A075B7A1;M0R0E9;M0R344;Q9NRA0;Q9NRA0-2;Q9NRA0-3;Q9NRA0-4;Q9NRA0-5" "SPHK2" NA NA 9.79921926012627
"17" "A0A087WT23;A0A087WV67;O00124;O00124-3" "UBXN8" NA 10.5026451225627 NA
"18" "A0A087WT30;Q8N5I9" "NOPCHAP1" 12.9750611161189 14.6049548223281 15.9843545675279
"19" "A0A087WT67;O14628;O14628-4;O14628-5;O14628-6;O14628-7" "ZNF195" NA 13.6232354959557 14.3649663292478
"20" "A0A087WT80;A0A087WW73;A0A0D9SF51;A0A0D9SG17;A0A1B0GWB6;Q9NQ66;Q9NQ66-2" "PLCB1" NA 14.1784328045988 13.4963191323651
"21" "A0A087WT99;Q9H0W9" "C11orf54" 15.4063317941496 15.176012099051 15.8923085088525
"22" "A0A087WTD7;A8MYJ1;Q12802;Q12802-2;Q12802-4" "AKAP13" 16.2055710441939 16.294174094534 17.30154559476
"23" "A0A087WTK3" "ZNF248" NA NA NA
"24" "A0A087WTV1;A0A2R8Y362;A0A2R8Y5R1;A0A2R8Y690;A0A2R8YD49;A0A2R8YEX0;A0A2R8YFT0;A0A2R8YG59;A0A2R8YG95;Q9H1P3;Q9H1P3-2" "OSBPL2" NA 12.6988256712144 11.5908461667646
"25" "A0A087WTW0;A0A087WVR3;Q96T88;Q96T88-2" "UHRF1" 16.3713612302518 18.569459305877 18.2257733212305
"26" "A0A087WTW5;Q9UKL3" "CASP8AP2" 13.7588141613407 14.1417889327107 14.1145989390157
"27" "A0A087WU07;Q5TGZ0;Q5TGZ0-2" "MICOS10" 15.8276187163258 14.3668791222818 15.237219882611
"28" "A0A087WU53;A0A8I5KUC4;A0A8I5KY62;A0A8I5KYH1;A0A8I5QJM4;A0A8I5QKX7;Q9H0U3" "MAGT1" 14.9921368032579 15.8178509298452 16.8802648151246
"29" "A0A087WU65;Q9NRW7" "VPS45" 13.1760242773068 13.927304701045 15.1087385170266
"30" "A0A087WU73;A0A087X287;A0A494BZX7;A0A499FIJ6;B0QY83;E7ER32;Q969V6;W0Z7M9" "MRTFA" 14.7017522215969 15.8223468590097 17.2726808947064
"31" "A0A087WUB9;Q8WYA6" "CTNNBL1" 19.6451187877788 19.8082624101515 20.3539045198513
"32" "A0A087WUD3;Q9NRP0;Q9NRP0-2" "OSTC" 14.8378462740614 15.4775080349108 16.3553110342372
"33" "A0A087WUI6;Q8WXW3" "PIBF1" NA 11.3940868739824 12.2569693762839
"34" "A0A087WUK2;O14979" "HNRNPDL" 19.5494106642527 18.9860261983708 20.710185711256
"35" "A0A087WUL6;A0A087WY98;A0A087X1W3;Q8N1B3;Q8N1B3-2" "CCNQ" NA NA 13.4794711741727
"36" "A0A087WUN7;G3V2S9;G3V4X6;H0YJ40;Q9GZT3;Q9GZT3-2" "SLIRP" 21.9570616454902 19.9916876541938 20.8545603476511
"37" "A0A087WUT6;O60841" "EIF5B" 18.2143176383906 19.0079330345715 19.7478075057986
"38" "A0A087WV05;Q99417" ";MYCBP" 17.7821696930878 18.3354048032941 18.0636256523208
"39" "A0A087WVL8;A0A087WXI3;A0A087WY29;A0A8I5KS01;A0A8I5KT56;A0A8I5KTT6;A0A8I5KTZ9;A0A8I5KUC2;A0A8I5KWH0;A0A8I5KZ21;A8MQB8;G3V0J0;Q06787;Q06787-2;Q06787-3;Q06787-4;Q06787-5;Q06787-6;Q06787-7;Q06787-8;Q06787-9" "FMR1" NA NA 14.3389660556852
"40" "A0A087WVM4;B7ZM99" "MTHFD1L" 14.4721712142872 15.5086228221996 16.581887616153
"41" "A0A087WVP4;A0A087X1R1;P53814;P53814-5;P53814-6" "SMTN" NA 11.4748242725186 NA
"42" "A0A087WVQ6;Q00610;Q00610-2" "CLTC" 20.6072084990282 18.9162347460824 20.1168458674193
"43" "A0A087WVQ9;A0A7I2V659;P68104" "EEF1A1" 23.3032160817773 23.8356087594695 24.6653681241777
"44" "A0A087WVT1;Q96MX3" "ZNF48" 16.0256703304571 14.6639586938819 NA
"45" "A0A087WVZ0;Q5TI65;Q9Y5U8" "MPC1" 13.1416882282645 NA 12.7395427899476
"46" "A0A087WVZ7;Q9UJW7;Q9UJW7-2" "ZNF229" NA NA NA
"47" "A0A087WW00;C9J9H9;P51668;Q9Y2X8" "UBE2D1;UBE2D4;UBE2D1;UBE2D4" 14.543582944503 14.9701532974863 15.4777308492235
"48" "A0A087WW40;Q9Y371;Q9Y371-2" "SH3GLB1" 15.933850819969 16.810678905341 17.1463152471538
"49" "A0A087WW77;Q15334" "LLGL1" 13.6350230313747 13.5432449779293 14.4692801125196
"50" "A0A087WW88;C9J0A7;Q9UQN3;Q9UQN3-2" "CHMP2B" 17.0983609669412 17.3078982707892 17.9834570079111
"51" "A0A087WW97;A0A087WZK4;H0YBN6;P78368;Q9Y6M4;Q9Y6M4-2;Q9Y6M4-3;Q9Y6M4-4;Q9Y6M4-5;Q9Y6M4-6" "CSNK1G2;CSNK1G2;CSNK1G3;CSNK1G2;CSNK1G3;CSNK1G3;CSNK1G3;CSNK1G3;CSNK1G3;CSNK1G3" 11.9418200988062 13.1147472971243 13.103264433612
"52" "A0A087WWA3;O60333;O60333-2;O60333-4;Q4R9M9" "KIF1B" NA 13.2251154799816 12.9789574112032
"53" "A0A087WWH3;Q9NZM4;Q9NZM4-2" "BICRA" 16.2837680406758 17.125006483599 17.6250216265765
"54" "A0A087WWI6;A0A8I5KRG1;P61962" "DCAF7" 15.4820451030369 15.1400557074903 16.2311417678481
"55" "A0A087WWP4;A0A499FJY3;Q96T37;Q96T37-2;Q96T37-3;Q96T37-4" "RBM15" 19.0998078390859 18.7560900131405 19.7770798967272
"56" "A0A087WWP8" "RSBN1" 17.0827117045444 17.1085917732172 17.3344856657649
"57" "A0A087WWV7;A0A087X0C1;Q5JYT7" "KIAA1755" 14.4371085617297 17.060110097822 17.8817312415741
"58" "A0A087WWW9;O95999" "BCL10" 15.569791187771 16.0971702352872 15.9212397676086
"59" "A0A087WWZ6;H3BSZ2;Q9NQV5;Q9NQV5-2" "PRDM11" 14.1508221386579 NA NA
"60" "A0A087WXC5;A0A7I2V594;E7ESZ7;O95299" "NDUFA10" 18.8815320451749 17.7047631744698 18.4676843995445
"61" "A0A087WXC8;P35663" "CYLC1" 13.1180721379132 12.5429685513238 13.5821219927123
"62" "A0A087WXF7;A0A0C4DFW2;Q9UK53;Q9UK53-2;Q9UK53-4;Q9UK53-5" "ING1" 15.9040703522863 13.5271450307166 16.7708542044181
"63" "A0A087WXF8;A0A0D9SEW3;Q9NP64;Q9NP64-2;Q9NP64-3" "ZCCHC17" 14.4224850844018 NA 14.1691468187749
"64" "A0A087WXL6" "VPS11" 16.4517331842445 16.903616093786 17.6733481151244
"65" "A0A087WXM6;A0A0A6YYL6;J3KRX5;J3QQT2;P18621;P18621-3" "RPL17;RPL17-C18orf32;RPL17;RPL17;RPL17;RPL17" 19.8517916388796 20.0731382005167 21.5606992369235
"66" "A0A087WXP2;A0A8I5KYE6;A0A8J8YL86;B4DHW2;C9JWJ8;K7EN08;Q14938;Q14938-2;Q14938-3;Q14938-5" "NFIX" 13.1099345635846 12.814786821481 NA
"67" "A0A087WXU0;A0A2R8Y4J4;A0A804HHW6;A0A804HKF8;A0A804HLE1;Q9NWS8" "RMND1" 15.5407883304059 14.4755252743907 14.9166179049878
"68" "A0A087WY54;Q15649" "ZNHIT3" NA 13.2844879340787 NA
"69" "A0A087WY55;Q9NP79" "VTA1" 17.7759535190981 17.7920292656329 18.9715917905094
"70" "A0A087WY71;C9JGT8;C9JPV8;E9PFW3;Q96CW1;Q96CW1-2" "AP2M1" 18.2018542515577 18.3691232485371 19.3783444728933
"71" "A0A087WY82;Q9Y624" "F11R" 17.8022392560935 17.9145730924927 18.7138164996694
"72" "A0A087WYD6;Q03519;X5CMH5" "TAP2" 15.4835638881251 15.2836158805218 15.6075958093647
"73" "A0A087WYE4;E9PS60" "PDE4DIP" NA NA NA
"74" "A0A087WYJ0;Q9UGI6" "KCNN3" NA 15.8249368963875 17.0921256182414
"75" "A0A087WYJ2;A0A2R8Y705;M0R2B7;P28340" "POLD1" 16.4369351568502 17.0012013144655 18.1268859274334
"76" "A0A087WYL7;G3V4A5;O75586" "MED6" 16.7150429296871 16.5503069124484 17.2333980590021
"77" "A0A087WYR3;O43399;O43399-5;O43399-7" "TPD52L2" 18.3294275134572 18.4571378615541 19.6521039164861
"78" "A0A087WYR5;Q68CY6;Q9BSG1;Q9BSG1-3;Q9BSG1-4" "ZNF2" NA NA NA
"79" "A0A087WYU2;Q96S19" "METTL26" 15.3597030524892 15.4349503819394 16.8872898861617
"80" "A0A087WYV5;O94813;O94813-2;O94813-3;X6R3P0" "SLIT2" NA 13.0220924451072 12.7848205280472
"81" "A0A087WYV9;A0A087X1F5" "SYNJ2BP-COX16" 13.3655723507952 13.7362096007382 13.7471138733505
"82" "A0A087WYZ9;Q96T68;Q96T68-2;Q96T68-3" "SETDB2" 14.5665936524545 13.7712600447968 15.1786853639863
"83" "A0A087WZ13" "RAVER1" 20.1408389740243 19.2562857256982 19.6090608003476
"84" "A0A087WZ32;A0A087X038;A8K727;Q9HB19" "PLEKHA2" 13.3005483491328 13.8851340511501 14.5902249618205
"85" "A0A087WZ88;P48443" "RXRG" 14.3836971741441 15.4150314800386 16.7376425311877
"86" "A0A087WZD4;K7ENL9;Q96DM3" "RMC1" 11.7609233481382 NA 12.8993085147827
"87" "A0A087WZG4;A0A3B3IPE9;A0A590UK10;A0A804CAZ4;M0QZS0;Q6ZSZ5;Q6ZSZ5-1;Q6ZSZ5-2;Q6ZSZ5-5;Q6ZSZ5-6" "ARHGEF18" 12.9022705855969 11.5204589858047 NA
"88" "A0A087WZN1;O43837" "IDH3B" 17.0614984281356 17.7657765539377 18.1466533493561
"89" "A0A087WZX2;O95139" "NDUFB6" 19.7121400937814 17.6146248191827 18.1308892858011
"90" "A0A087X011;E9PES4;J3KPF9;Q9Y496" "KIF3A" NA 12.5614731345998 12.4684204515056
"91" "A0A087X091" "WDR13" 11.0195771554246 NA NA
"92" "A0A087X0D5;A0A7I2V2L7;A0A7I2V3E8;A0A7I2V4X5;A0A7I2V673;A0A7I2YQ92;A0A7I2YQX6;E9PKT6;P09668" "CTSH" 18.2124640274513 19.1336061717914 19.7765804193425
"93" "A0A087X0D9;B4DEN4;B8ZZ56;E7EV05;E9PFU9;Q8WV99;Q8WV99-2" "ZFAND2B" 11.7881486741666 12.3833749708155 12.809816987423
"94" "A0A087X0J9;P59923" "ZNF445" NA NA NA
"95" "A0A087X0L7;J3KNA0;Q15070;Q15070-2" "OXA1L" 18.316092425526 16.4641038491706 18.7761932455631
"96" "A0A087X0M4" "SLC4A1AP" 15.8002320270797 16.2942718514016 17.253421786165
"97" "A0A087X0N3" "NOL4L" 16.8395779742768 18.0267837852617 17.128488572287
"98" "A0A087X0Q1;Q7Z739" "YTHDF3" 15.1984576315975 16.0714443587147 16.6186236574874
"99" "A0A087X0R0;O15550" "KDM6A" 16.0718976623288 16.7744076486489 17.3638033745226
"100" "A0A087X0R6;Q9UMY4;Q9UMY4-1" "SNX12" 16.9483054664782 17.5418514461553 18.5148199812178
"101" "A0A087X0Y2;A0A087X248;A0A804HJV1;F5H3N7;O14607" "UTY" 13.8959199733697 13.2323286969794 16.7264995542958
"102" "A0A087X0Y5" "ASAP3" NA NA 15.802881949802
"103" "A0A087X159;P81877;P81877-4;P81877-5" "SSBP2" 16.1316069001266 15.7394777921098 16.5068765428724
"104" "A0A087X1B1;A0A8I5KQX1;C9J2V2;D3DWY0;Q9Y6K9;Q9Y6K9-2" "IKBKG" 14.9282131091464 15.9140463767447 15.2679446582169
"105" "A0A087X1E4;P53365;P53365-3" "ARFIP2" 13.647259025745 13.7771165272133 14.8992456281152
"106" "A0A087X1K6;Q9Y2Y9" "KLF13" 16.9398249769846 16.8349068233924 17.5335158128762
"107" "A0A087X1L8;K4DIA0;O75144;O75144-2;O75144-3" "LOC102723996;ICOSLG;ICOSLG;ICOSLG;ICOSLG" 13.0242333748066 13.7384335099713 13.9371043757798
"108" "A0A087X1S7;P09326" "CD48" 14.5617198225521 14.0923697105868 14.9820026142836
"109" "A0A087X1Z3;Q9UL46" "PSME2" 18.0526522893986 18.7661388252791 19.5768223419732
"110" "A0A087X256;Q2M389" "WASHC4" NA 13.1339919331904 14.6322488648317
"111" "A0A087X295;Q9NNW5" "WDR6" 10.324444687551 10.817263674042 12.3426505068224
"112" "A0A087X2B4;J3QR43;J3QRC6;J3QRH2;Q8IY31;Q8IY31-2;Q8IY31-3;Q8IY31-4" "IFT20" 11.2585132715065 11.1188243472264 12.3476152863722
"113" "A0A087X2D5;Q9BRJ2" "MRPL45" 17.5328486168503 16.941004429413 18.0913564495877
"114" "A0A087X2E7;A0A804HIF9;A0A804HIJ6;A0A804HIW7;A0A804HK94;Q92952;Q92952-2;V9GYV2" "KCNN1" 14.9174126915352 14.3381230622703 16.3309863360692
"115" "A0A087X2F1" "ZSCAN26" 15.8049335376038 15.733216147842 16.6415392513676
"116" "A0A087X2H1;A0A8I5QJU2;H0YJP0;Q9ULT8" "HECTD1" NA 13.0789459356133 14.3608016831415
"117" "A0A087X2I1;P62333" "PSMC6" 18.1150461909744 17.0204257380783 17.9417593962071
"118" "A0A088AWN2;Q8TBZ3;Q8TBZ3-2;Q8TBZ3-4;Q8TBZ3-5;Q8TBZ3-6;Q8TBZ3-7" "WDR20" 13.5341354318288 13.7479220032575 15.7340346830941
"119" "A0A096LNH6" "DOCK1" 14.7201828740277 13.7474261564969 15.5595571574352
"120" "A0A096LNL9;P46100-6" "ATRX" NA 10.3335647145405 NA
"121" "A0A096LNV3;A0A096LP02;Q9Y508;Q9Y508-2" "RNF114" 15.3677846551702 17.0912130928366 17.5236885301183
"122" "A0A096LNY6;A0A1B0GTJ7;A0A1B0GWJ0;A0A7P0T9A7;A0A7P0Z472;P30566" "ADSL" 16.5493475569914 17.4617037518207 18.6050723045866
"123" "A0A096LP22;Q86Y79" "PTRH1" 15.0156399794096 14.5309568295741 14.5296176146885
"124" "A0A096LP69" "CD99" 9.67256108717718 11.066825642949 12.2145130069568
"125" "A0A096LPC5;E7ESD2;F8W7U3;J3KP36;Q641Q2;Q641Q2-2;Q9Y4E1;Q9Y4E1-1;Q9Y4E1-2;Q9Y4E1-3;Q9Y4E1-6" "WASHC2C;WASHC2A;WASHC2A;WASHC2C;WASHC2A;WASHC2A;WASHC2C;WASHC2C;WASHC2C;WASHC2C;WASHC2C" 13.1581766662571 12.6055006557504 14.036691284024
"126" "A0A096LPI6" "" 17.0754649493512 16.6640545372593 17.5860943903572
"127" "A0A0A0MQR2;Q9BY42" "RTF2" 16.1955844252306 17.6199324709185 18.1572399081857
"128" "A0A0A0MQS0;F8W9L8" "PHF20L1" 15.4092905758362 16.2622971859011 16.9991998006853
"129" "A0A0A0MQS1;Q53H96;Q53H96-2" "PYCR3" 12.8163808762854 13.5263632403797 13.9933216143827
"130" "A0A0A0MQS2;F5H0Q6" "CLASRP" 14.6435012842839 14.5392646151661 14.9272810072002
"131" "A0A0A0MQT4;Q5QP82;Q5QP82-2" "DCAF10" NA NA NA
"132" "A0A0A0MQU0;Q9BV38;U3KQC1" "WDR18" 18.1063656518014 15.959343401902 18.748833666591
"133" "A0A0A0MQU3;P62837" "UBE2D2" 19.6314117762279 19.6320986195421 21.0866706133148
"134" "A0A0A0MQU4;Q96I15;Q96I15-2" "SCLY" 16.8417208711599 14.7426764144352 15.934369276054
"135" "A0A0A0MQX8;C9JP00;Q9NR56" "MBNL1" 18.211480480838 17.2750996197491 17.6977872666273
"136" "A0A0A0MR06;O15258;Q5T091;Q5T092" "RER1" 15.6626977088874 16.071621933225 15.888511017465
"137" "A0A0A0MR08;A0A8I5KXK1;O94966-5;O94966-6;O94966-7" "USP19" 14.2468011852178 14.7916879432552 15.0061159637462
"138" "A0A0A0MR11;Q06730;Q06730-2;Q06730-3" "ZNF33A" NA NA NA
"139" "A0A0A0MR54;Q14162;Q14162-2" "SCARF1" 14.2996311797858 14.273186908874 16.6013182025538
"140" "A0A0A0MR74;O75907" "DGAT1" 12.8342501719517 13.4220972409042 11.2806246649257
"141" "A0A0A0MR79;A0A8I5KUR0;A0A8I5KW86;A0A8I5QJW8;Q93074;Q93074-2;Q93074-3" "MED12" 17.9924120699582 17.0273824625674 17.7766735825842
"142" "A0A0A0MRA3;A0A0A0MTS7;Q8WZ42;Q8WZ42-10;Q8WZ42-11;Q8WZ42-12;Q8WZ42-13;Q8WZ42-2;Q8WZ42-3;Q8WZ42-4;Q8WZ42-5;Q8WZ42-7;Q8WZ42-8;Q8WZ42-9" "TTN" 17.9453505985351 14.5100004993326 17.2823940626795
"143" "A0A0A0MRB5;Q8WXG6-2;Q8WXG6-3;Q8WXG6-4;Q8WXG6-5;Q8WXG6-8" "MADD" 14.1762956755666 14.402483986742 15.0768899527892
"144" "A0A0A0MRE5;Q9ULH1;Q9ULH1-2" "ASAP1" 12.6151818276675 12.5073278000656 13.5631895211891
