"name" "cells" "factor" "group" "treatment" "filepath" "bamname" "bamfile"
"1" "MUTZ3_EVI1" "MUTZ3" "EVI1" "MUTZ3:EVI1" "untreated" "/data/dorien/EVI1_target_gene_discovery/chip_seq/bigwig/EVI1_Mutz3.bigwig" "EVI1_Mutz3.bam" "/data/dorien/EVI1_target_gene_discovery/chip_seq/bam/EVI1_Mutz3.bam"
"2" "MUTZ3_CTBP2" "MUTZ3" "CTBP2" "MUTZ3:CTBP2" "untreated" "/data/dorien/EVI1_target_gene_discovery/chip_seq/bigwig/CTBP_Mutz3.bigwig" "CTBP_Mutz3.bam" "/data/dorien/EVI1_target_gene_discovery/chip_seq/bam/CTBP_Mutz3.bam"
"3" "MUTZ3_H3K27Ac" "MUTZ3" "H3K27Ac" "MUTZ3:H3K27Ac" "untreated" "/data/allfiles/chip/bigwig/MUTZ3E7_sgRNA8_H3K27AC_ABCAM_201224_A00383_0111_AHTCVMDRXX.bigwig" "MUTZ3E7_sgRNA8_H3K27AC_ABCAM_201224_A00383_0111_AHTCVMDRXX.bam" "/data/allfiles/chip/bam/MUTZ3E7_sgRNA8_H3K27AC_ABCAM_201224_A00383_0111_AHTCVMDRXX.bam"
"4" "MUTZ3_H3K27Me3" "MUTZ3" "H3K27Me3" "MUTZ3:H3K27Me3" "untreated" "/data/dorien/chip/220815_A00383_0294_BHT75NDRXY_MUTZ3/bigwig/MUTZ3_H3K27ME3_DSG_S8_220815_A00383_0294_BHT75NDRXY_RPKM.bigwig" "MUTZ3_H3K27ME3_DSG_S8_220815_A00383_0294_BHT75NDRXY.bam" "/data/dorien/chip/220815_A00383_0294_BHT75NDRXY_MUTZ3/bam/MUTZ3_H3K27ME3_DSG_S8_220815_A00383_0294_BHT75NDRXY.bam"
"5" "MUTZ3_H3K9Me3" "MUTZ3" "H3K9Me3" "MUTZ3:H3K9Me3" "untreated" "/data/dorien/chip/220815_A00383_0294_BHT75NDRXY_MUTZ3/bigwig/MUTZ3_H3K9ME3_DSG_S9_220815_A00383_0294_BHT75NDRXY_RPKM.bigwig" "MUTZ3_H3K9ME3_DSG_S9_220815_A00383_0294_BHT75NDRXY.bam" "/data/dorien/chip/220815_A00383_0294_BHT75NDRXY_MUTZ3/bam/MUTZ3_H3K9ME3_DSG_S9_220815_A00383_0294_BHT75NDRXY.bam"
"6" "MUTZ3_MYB" "MUTZ3" "MYB" "MUTZ3:MYB" "untreated" "/data/leonie/chip/190723_A00383_0039_AHKKNLDMXX/bigwig/MUTZ37_ENH8_MYB_190723_A00383_0039_AHKKNLDMXX.bigwig" "MUTZ37_ENH8_MYB_190723_A00383_0039_AHKKNLDMXX.bam" "/data/leonie/chip/190723_A00383_0039_AHKKNLDMXX/bam/MUTZ37_ENH8_MYB_190723_A00383_0039_AHKKNLDMXX.bam"
"7" "MUTZ3_P300" "MUTZ3" "P300" "MUTZ3:P300" "untreated" "/data/allfiles/chip/bigwig/MUTZ3_P300_DSG_191218_A00383_0055_BHMWTCDMXX.bigwig" "MUTZ3_P300_DSG_191218_A00383_0055_BHMWTCDMXX.bam" "/data/allfiles/chip/bam/MUTZ3_P300_DSG_191218_A00383_0055_BHMWTCDMXX.bam"
"8" "MUTZ3_RUNX1" "MUTZ3" "RUNX1" "MUTZ3:RUNX1" "untreated" "/data/allfiles/chip/bigwig/MUTZ37_NEG10_RUNX_191218_A00383_0055_BHMWTCDMXX.bigwig" "MUTZ37_NEG10_RUNX_191218_A00383_0055_BHMWTCDMXX.bam" "/data/allfiles/chip/bam/MUTZ37_NEG10_RUNX_191218_A00383_0055_BHMWTCDMXX.bam"
"9" "MUTZ3_ERG" "MUTZ3" "ERG" "MUTZ3:ERG" "untreated" "/data/leonie/chip/210223_A00383_0117_AHWTHVDMXX/bigwig/MUTZ_3E7_ENH8_ERG_210223_A00383_0117_AHWTHVDMXX_RPKM.bigwig" "MUTZ_3E7_ENH8_ERG_210223_A00383_0117_AHWTHVDMXX.bam" "/data/leonie/chip/210223_A00383_0117_AHWTHVDMXX/bam/MUTZ_3E7_ENH8_ERG_210223_A00383_0117_AHWTHVDMXX.bam"
"10" "MUTZ3_CTCF" "MUTZ3" "CTCF" "MUTZ3:CTCF" "untreated" "/data/allfiles/chip/bigwig/ctcf_Mutz3_180109_SN583_0303_ACC16DACXX.bigwig" "ctcf_Mutz3_180109_SN583_0303_ACC16DACXX.bam" "/data/allfiles/chip/bam/ctcf_Mutz3_180109_SN583_0303_ACC16DACXX.bam"
"11" "MUTZ3_GATA2" "MUTZ3" "GATA2" "MUTZ3:GATA2" "untreated" "/data/stanley/chip/221004_A00383_0324_AHVV5CDMXX/bigwig/Mutz_V5_GATA2_Clone35_221004_A00383_0324_AHVV5CDMXX_RPKM.bigwig" "Mutz_V5_GATA2_Clone35_221004_A00383_0324_AHVV5CDMXX.bam" "/data/stanley/chip/221004_A00383_0324_AHVV5CDMXX/bam/Mutz_V5_GATA2_Clone35_221004_A00383_0324_AHVV5CDMXX.bam"
