BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Publication Source	Organism ID Interactor A	Organism ID Interactor B	Throughput	Score	Modification	Qualifications	Tags	Source Database	SWISS-PROT Accessions Interactor A	TREMBL Accessions Interactor A	REFSEQ Accessions Interactor A	SWISS-PROT Accessions Interactor B	TREMBL Accessions Interactor B	REFSEQ Accessions Interactor B	Ontology Term IDs	Ontology Term Names	Ontology Term Categories	Ontology Term Qualifier IDs	Ontology Term Qualifier Names	Ontology Term Types	Organism Name Interactor A	Organism Name Interactor B
243754	1487	5411	107869	111412	-	-	CTBP1	PNN	BARS	DRS|DRSP|SDK3|memA	Reconstituted Complex	physical	Alpatov R (2004)	PUBMED:15542832	9606	9606	Low Throughput	-	-	As a consequence of this interaction Pnn was capable of relieving the CtBP1-mediated repression of E-cadherin promoter activity	-	BIOGRID	Q13363	X5D8Y5	NP_001319|NP_001012632|NP_001364119|NP_001364118|NP_001364122|NP_001364120|NP_001364121|NP_001364117|NP_001364116|NP_001364115	Q9H307	-	NP_002678	-	-	-	-	-	-	Homo sapiens	Homo sapiens
243755	1487	5411	107869	111412	-	-	CTBP1	PNN	BARS	DRS|DRSP|SDK3|memA	Affinity Capture-Western	physical	Alpatov R (2004)	PUBMED:15542832	9606	9606	Low Throughput	-	-	As a consequence of this interaction Pnn was capable of relieving the CtBP1-mediated repression of E-cadherin promoter activity	-	BIOGRID	Q13363	X5D8Y5	NP_001319|NP_001012632|NP_001364119|NP_001364118|NP_001364122|NP_001364120|NP_001364121|NP_001364117|NP_001364116|NP_001364115	Q9H307	-	NP_002678	-	-	-	-	-	-	Homo sapiens	Homo sapiens
244129	1487	10320	107869	115604	-	tcag7.1178	CTBP1	IKZF1	BARS	Hs.54452|IK1|IKAROS|LYF1|LyF-1|PPP1R92|PRO0758|ZNFN1A1	Reconstituted Complex	physical	Koipally J (2000)	PUBMED:10766745	9606	9606	Low Throughput	-	-	CtBP interacts with Ikaros isoforms through a PEDLS motif present at the N terminus	-	BIOGRID	Q13363	X5D8Y5	NP_001319|NP_001012632|NP_001364119|NP_001364118|NP_001364122|NP_001364120|NP_001364121|NP_001364117|NP_001364116|NP_001364115	Q13422	C9JTB0|R9R4D9|A0A087WU46	NP_001207698|NP_001207699|NP_001278766|NP_001278767|NP_001278768|NP_001278769|NP_001207694|NP_001207695|NP_001207696|NP_001207697|NP_001278775|NP_001278774|NP_001278776|NP_001278771|NP_001278770|NP_001278773|NP_001278772|NP_006051|NP_001207702|NP_001207703|NP_001207700|NP_001207701|NP_001207704|NP_001207705	-	-	-	-	-	-	Homo sapiens	Homo sapiens
244130	1487	10320	107869	115604	-	tcag7.1178	CTBP1	IKZF1	BARS	Hs.54452|IK1|IKAROS|LYF1|LyF-1|PPP1R92|PRO0758|ZNFN1A1	Affinity Capture-Western	physical	Koipally J (2000)	PUBMED:10766745	9606	9606	Low Throughput	-	-	CtBP interacts with Ikaros isoforms through a PEDLS motif present at the N terminus	-	BIOGRID	Q13363	X5D8Y5	NP_001319|NP_001012632|NP_001364119|NP_001364118|NP_001364122|NP_001364120|NP_001364121|NP_001364117|NP_001364116|NP_001364115	Q13422	C9JTB0|R9R4D9|A0A087WU46	NP_001207698|NP_001207699|NP_001278766|NP_001278767|NP_001278768|NP_001278769|NP_001207694|NP_001207695|NP_001207696|NP_001207697|NP_001278775|NP_001278774|NP_001278776|NP_001278771|NP_001278770|NP_001278773|NP_001278772|NP_006051|NP_001207702|NP_001207703|NP_001207700|NP_001207701|NP_001207704|NP_001207705	-	-	-	-	-	-	Homo sapiens	Homo sapiens
244131	4091	1487	110266	107869	-	-	SMAD6	CTBP1	AOVD2|HsT17432|MADH6|MADH7	BARS	Affinity Capture-Western	physical	Lin X (2003)	PUBMED:14645520	9606	9606	Low Throughput	-	-	CtBP-binding motif, PLDLS, was identified in the linker region of Smad6; mutation in the motif abolished the Smad6 binding to CtBP and subsequently its repressor activity of transcription	-	BIOGRID	O43541	-	NP_005576|NP_001136333	Q13363	X5D8Y5	NP_001319|NP_001012632|NP_001364119|NP_001364118|NP_001364122|NP_001364120|NP_001364121|NP_001364117|NP_001364116|NP_001364115	-	-	-	-	-	-	Homo sapiens	Homo sapiens
244151	1487	5932	107869	111867	-	-	CTBP1	RBBP8	BARS	COM1|CTIP|JWDS|RIM|SAE2|SCKL2	Reconstituted Complex	physical	Li S (1999)	PUBMED:10196224	9606	9606	Low Throughput	-	-	CtIP binds to CtBP and the BRCT repeats of BRCA1 using different motifs	-	BIOGRID	Q13363	X5D8Y5	NP_001319|NP_001012632|NP_001364119|NP_001364118|NP_001364122|NP_001364120|NP_001364121|NP_001364117|NP_001364116|NP_001364115	Q99708	A0A024RC34	NP_976037|NP_976036|NP_002885	-	-	-	-	-	-	Homo sapiens	Homo sapiens
244152	1487	5932	107869	111867	-	-	CTBP1	RBBP8	BARS	COM1|CTIP|JWDS|RIM|SAE2|SCKL2	Affinity Capture-Western	physical	Li S (1999)	PUBMED:10196224	9606	9606	Low Throughput	-	-	CtIP binds to CtBP and the BRCT repeats of BRCA1 using different motifs	-	BIOGRID	Q13363	X5D8Y5	NP_001319|NP_001012632|NP_001364119|NP_001364118|NP_001364122|NP_001364120|NP_001364121|NP_001364117|NP_001364116|NP_001364115	Q99708	A0A024RC34	NP_976037|NP_976036|NP_002885	-	-	-	-	-	-	Homo sapiens	Homo sapiens
244178	7050	1487	112908	107869	-	-	TGIF1	CTBP1	HPE4|TGIF	BARS	Affinity Capture-Western	physical	Melhuish TA (2000)	PUBMED:10995736	9606	9606	Low Throughput	-	-	Disruption of the PLDLS motif in TGIF abolishes the interaction of CtBP with TGIF and compromises the ability of TGIF to repress transcription	-	BIOGRID	Q15583	-	NP_001265613|NP_777480|NP_001265611|NP_003235|NP_001265615|NP_733796|NP_775299|NP_775302|NP_775303|NP_775300|NP_775301	Q13363	X5D8Y5	NP_001319|NP_001012632|NP_001364119|NP_001364118|NP_001364122|NP_001364120|NP_001364121|NP_001364117|NP_001364116|NP_001364115	-	-	-	-	-	-	Homo sapiens	Homo sapiens
244643	8204	1487	113843	107869	-	-	NRIP1	CTBP1	RIP140	BARS	Reconstituted Complex	physical	Castet A (2004)	PUBMED:15060175	9606	9606	Low Throughput	-	-	Motif PIDLS differentially required for in vitro interaction	-	BIOGRID	P48552	A8K171	NP_003480	Q13363	X5D8Y5	NP_001319|NP_001012632|NP_001364119|NP_001364118|NP_001364122|NP_001364120|NP_001364121|NP_001364117|NP_001364116|NP_001364115	-	-	-	-	-	-	Homo sapiens	Homo sapiens
244822	4193	1487	110358	107869	-	-	MDM2	CTBP1	ACTFS|HDMX|hdm2	BARS	Far Western	physical	Mirnezami AH (2003)	PUBMED:12867035	9606	9606	Low Throughput	-	-	Repress p53 activity through the recruitment of a known transcriptional corepressor, hCtBP2. This interaction, and consequent repression of p53-dependent transcription, is relieved under hypoxia or hypoxia-mimicking conditions that are known to increase l	-	BIOGRID	Q00987	A7UKX8|Q96DS0|A7UKX9|A7UKX7|G3XA89	NP_001354919|NP_001265391|NP_002383|NP_001138811|NP_001138812|NP_001138809	Q13363	X5D8Y5	NP_001319|NP_001012632|NP_001364119|NP_001364118|NP_001364122|NP_001364120|NP_001364121|NP_001364117|NP_001364116|NP_001364115	-	-	-	-	-	-	Homo sapiens	Homo sapiens
